class_id,mean_f1,std_f1,mean_auses,std_auses,mean_auces,std_auces
Class_0,0.425298392,0.015449151,0.289337297,0.023529904,0.097114814,0.016156387
Class_1,0,0,0,0,0.316141998,0.099303516
Class_2,0,0,0,0,0.3565018,0.113695364
Class_3,0,0,0,0,0.510978722,0.228249303
Class_4,0,0,0.057499291,0.172499215,0.07360687,0.044890578
Class_5,0,0,0.017250207,0.05175062,-0.072569861,0.034807265
Class_6,0,0,0,0,0.19715609,0.049139559
Class_7,0,0,0,0,0.286574617,0.045892404
Class_8,0,0,0,0,0.444960173,0.115978306
Class_9,0,0,0,0,0.317628682,0.074531058
Class_10,0,0,0,0,0.128992975,0.066260246
Class_11,0,0,0,0,0.587207703,0.290145682
Class_12,2.47E-07,5.23E-07,0.0149999,0.044999699,-0.218132821,0.024533756
Class_13,0,0,0,0,0.409240041,0.074625624
Global_Uncertainty,,,0.045049256,0.070357178,0.12369838,0.007512368
