class_id,mean_f1,std_f1,mean_auses,std_auses,mean_auces,std_auces
Class_0,0.425296868,0.015449905,0.280320446,0.019575223,0.095401588,0.014877371
Class_1,0,0,0,0,0.347814151,0.070922198
Class_2,0,0,0,0,0.362567505,0.111822498
Class_3,0,0,0,0,0.478625425,0.234659215
Class_4,9.94E-07,2.60E-06,0.016038233,0.048114698,0.043983914,0.023754623
Class_5,0,0,0,0,-0.060364893,0.141157617
Class_6,2.14E-07,6.43E-07,0.082498448,0.247500656,0.229239919,0.072245816
Class_7,0,0,0,0,0.274946035,0.058625678
Class_8,0,0,0,0,0.406156392,0.130511052
Class_9,0,0,0,0,0.313119914,0.084535646
Class_10,0,0,0,0,0.115146864,0.073003524
Class_11,0,0,0,0,0.564513724,0.29717823
Class_12,8.08E-08,2.42E-07,0.027111163,0.059972366,-0.211083666,0.050390953
Class_13,3.25E-06,9.74E-06,-1.45E-06,4.35E-06,0.355475892,0.105079521
Global_Uncertainty,,,0.033931758,0.057111725,0.121525236,0.006995355
