class_id,mean_f1,std_f1,mean_auses,std_auses,mean_auces,std_auces
Class_0,0.425256091,0.015494758,0.283966746,0.021121321,0.095967357,0.015413523
Class_1,4.21E-07,1.26E-06,0.001761291,0.005283873,0.353573555,0.095598739
Class_2,0,0,0,0,0.371699613,0.103522703
Class_3,0.00015187,0.000455609,0,0,0.455171914,0.204807583
Class_4,2.46E-06,6.97E-06,0.002445799,0.007339483,0.055751602,0.0269061
Class_5,2.18E-06,5.32E-06,0.02006365,0.041158844,-0.101850386,0.070817961
Class_6,3.99E-05,0.000119593,0.002493023,0.007479068,0.221135998,0.077144517
Class_7,0,0,0,0,0.300038645,0.065886682
Class_8,0,0,0,0,0.395286645,0.121157186
Class_9,8.39E-07,2.52E-06,-1.92E-06,5.75E-06,0.303241822,0.050210073
Class_10,1.98E-07,5.93E-07,0.020729464,0.062188392,0.135782635,0.034909
Class_11,0,0,0,0,0.509052404,0.279784695
Class_12,7.46E-06,1.89E-05,0.032730694,0.061090231,-0.213422128,0.035277103
Class_13,1.17E-06,3.51E-06,0.007301507,0.02190452,0.396256734,0.084294751
Global_Uncertainty,,,0.059755279,0.066974632,0.122152224,0.007367562
