class_id,mean_f1,std_f1,mean_auses,std_auses,mean_auces,std_auces
Class_0,0.457829968,0.017249063,0.289168152,0.029940271,0.057282616,0.012482333
Class_1,0,0,0,0,0.296191369,0.039569651
Class_2,0,0,0,0,0.402655071,0.047947584
Class_3,0,0,0,0,0.300136266,0.087500777
Class_4,9.26E-05,0.000208528,0.048928523,0.032955317,-0.002890094,0.066800314
Class_5,0.28305366,0.140661265,0.240762403,0.091939687,0.012916533,0.037540967
Class_6,5.66E-07,1.70E-06,-4.36E-07,1.31E-06,0.245783708,0.034775671
Class_7,1.23E-06,2.79E-06,0.006205112,0.018621647,0.276052312,0.032070979
Class_8,0,0,0,0,0.391322979,0.071915022
Class_9,0,0,0,0,0.285272509,0.037775255
Class_10,0.096530043,0.094088629,0.188186558,0.128299785,0.06475552,0.044807023
Class_11,0,0,0,0,0.28071594,0.405148042
Class_12,0.461844502,0.154545574,0.181924204,0.065587062,0.03392393,0.027657743
Class_13,0,0,0,0,0.331307711,0.024446809
Global_Uncertainty,,,0.274575159,0.093211812,0.111207478,0.006665588
